image,image_type,method,yeast_label,area_px,centroid_y,centroid_x,mean_green_intensity,mean_red_intensity,red_overlap_area_px,red_overlap_fraction,red_positive_threshold,red_positive_by_intensity,red_positive_by_overlap_or_centroid,red_positive,red_centroids_inside_yeast,nearest_red_centroid_distance_px
yeast_cyano_1.czi,combined,otsu_global,4,997,118.26680040120361,82.63590772316951,101.29789368104313,0.5325977933801405,0,0.0,1.0,False,False,False,0,60.60370890319507
yeast_cyano_1.czi,combined,otsu_global,5,79,159.2405063291139,213.9873417721519,115.0632911392405,3.5822784810126582,6,0.0759493670886076,1.0,True,True,True,0,14.893570269858445
yeast_cyano_1.czi,combined,otsu_global,6,873,184.42726231386024,192.02405498281786,122.07903780068729,4.3459335624284074,32,0.03665521191294387,1.0,True,True,True,1,6.0847872697434875
yeast_cyano_1.czi,combined,otsu_global,7,1119,182.01787310098302,340.96246648793567,124.38784629133154,1.613047363717605,0,0.0,1.0,True,False,False,0,55.8455510883684
yeast_cyano_1.czi,combined,otsu_global,8,274,179.6897810218978,490.8138686131387,85.04379562043796,6.375912408759124,31,0.11313868613138686,1.0,True,True,True,0,0.8531574114775738
yeast_cyano_1.czi,combined,otsu_global,9,418,212.04784688995215,390.61961722488036,91.47607655502392,10.937799043062201,105,0.2511961722488038,1.0,True,True,True,1,4.524983880247885
yeast_cyano_1.czi,combined,otsu_global,10,179,206.81005586592178,3.122905027932961,134.64804469273744,10.167597765363128,34,0.18994413407821228,1.0,True,True,True,2,4.183174605857415
yeast_cyano_1.czi,combined,otsu_global,11,578,210.28719723183391,288.0501730103806,108.13667820069205,2.4844290657439445,0,0.0,1.0,True,False,False,0,75.26206625630836
yeast_cyano_1.czi,combined,otsu_global,12,61,250.86885245901638,150.672131147541,117.60655737704919,2.9344262295081966,0,0.0,1.0,True,False,False,0,17.739928745915197
yeast_cyano_1.czi,combined,otsu_global,13,369,259.29539295392954,134.64769647696477,97.62872628726288,13.143631436314363,104,0.28184281842818426,1.0,True,True,True,1,2.586440170251816
yeast_cyano_1.czi,combined,otsu_global,14,289,277.8269896193772,473.7128027681661,74.01730103806229,5.726643598615917,1,0.0034602076124567475,1.0,True,False,False,0,3.0971356578975135
yeast_cyano_1.czi,combined,otsu_global,15,400,296.98,129.7975,146.045,28.725,205,0.5125,1.0,True,True,True,1,3.2728362935485196
yeast_cyano_1.czi,combined,otsu_global,16,97,294.29896907216494,278.1340206185567,62.381443298969074,9.762886597938145,21,0.21649484536082475,1.0,True,True,True,0,4.807066304190765
yeast_cyano_1.czi,combined,otsu_global,17,226,313.4911504424779,186.7920353982301,86.36725663716814,2.752212389380531,0,0.0,1.0,True,False,False,0,12.822297433902035
yeast_cyano_1.czi,combined,otsu_global,18,1003,334.65104685942174,394.2492522432702,119.29710867397806,16.942173479561315,336,0.3349950149551346,1.0,True,True,True,2,13.945961436968203
