image,red_object_label,red_object_area_px,centroid_y,centroid_x,mean_red_intensity,mean_green_intensity_in_red_object
cyano_only_1.tif,1,175,4.714285714285714,35.47428571428571,15.508571428571429,0.0
cyano_only_1.tif,2,7,2.0,297.0,19.142857142857142,0.0
cyano_only_1.tif,3,8,8.0,509.625,16.5,0.0
cyano_only_1.tif,4,126,21.896825396825395,492.7936507936508,16.253968253968253,0.0
cyano_only_1.tif,5,8,31.0,96.375,14.875,0.0
cyano_only_1.tif,6,59,43.101694915254235,279.03389830508473,14.033898305084746,0.0
cyano_only_1.tif,7,87,58.37931034482759,27.942528735632184,15.919540229885058,0.0
cyano_only_1.tif,8,15,56.8,199.8,14.866666666666667,0.0
cyano_only_1.tif,9,7,57.42857142857143,496.14285714285717,13.142857142857142,0.0
cyano_only_1.tif,10,75,66.54666666666667,315.8933333333333,15.373333333333333,0.0
cyano_only_1.tif,11,7,63.285714285714285,309.2857142857143,13.714285714285714,0.0
cyano_only_1.tif,12,172,75.54651162790698,424.9244186046512,14.80813953488372,0.0
cyano_only_1.tif,13,186,119.97311827956989,179.01612903225808,15.365591397849462,0.0
cyano_only_1.tif,14,44,118.70454545454545,198.8181818181818,14.931818181818182,0.0
cyano_only_1.tif,15,12,135.75,174.0,13.666666666666666,0.0
cyano_only_1.tif,16,9,139.22222222222223,180.55555555555554,13.777777777777779,0.0
cyano_only_1.tif,17,64,145.390625,200.640625,17.390625,0.0
cyano_only_1.tif,18,7,142.57142857142858,177.85714285714286,23.714285714285715,0.0
cyano_only_1.tif,19,8,148.625,178.625,15.5,0.0
cyano_only_1.tif,20,9,149.33333333333334,186.77777777777777,18.0,0.0
cyano_only_1.tif,21,28,164.64285714285714,18.857142857142858,15.464285714285714,0.0
cyano_only_1.tif,22,118,166.5084745762712,343.635593220339,15.059322033898304,0.0
cyano_only_1.tif,23,84,170.89285714285714,182.29761904761904,14.821428571428571,0.0
cyano_only_1.tif,24,120,174.75,293.5,15.4,0.0
cyano_only_1.tif,25,15,177.26666666666668,197.0,18.733333333333334,0.0
cyano_only_1.tif,26,51,182.84313725490196,493.72549019607845,15.313725490196079,0.0
cyano_only_1.tif,27,14,181.85714285714286,39.07142857142857,13.642857142857142,0.0
cyano_only_1.tif,28,205,188.9609756097561,289.5317073170732,15.151219512195121,0.0
cyano_only_1.tif,29,100,191.65,37.92,13.05,0.0
cyano_only_1.tif,30,253,195.2608695652174,446.0316205533597,34.976284584980235,0.0
cyano_only_1.tif,31,264,198.28030303030303,261.3484848484849,15.253787878787879,0.0
cyano_only_1.tif,32,6,191.5,490.5,23.0,0.0
cyano_only_1.tif,33,36,201.75,215.61111111111111,13.305555555555555,0.0
cyano_only_1.tif,34,38,222.60526315789474,212.55263157894737,18.07894736842105,0.0
cyano_only_1.tif,35,77,235.12987012987014,235.46753246753246,13.2987012987013,0.0
cyano_only_1.tif,36,17,229.7058823529412,287.7647058823529,14.647058823529411,0.0
cyano_only_1.tif,37,142,248.80985915492957,126.7394366197183,18.690140845070424,0.0
cyano_only_1.tif,38,39,247.33333333333334,390.84615384615387,14.64102564102564,0.0
cyano_only_1.tif,39,45,268.5777777777778,131.7111111111111,15.088888888888889,0.0
cyano_only_1.tif,40,6,282.1666666666667,102.66666666666667,19.333333333333332,0.0
cyano_only_1.tif,41,9,284.1111111111111,345.77777777777777,15.222222222222221,0.0
cyano_only_1.tif,42,248,295.91129032258067,119.58064516129032,22.137096774193548,0.0
cyano_only_1.tif,43,6,294.8333333333333,345.6666666666667,16.833333333333332,0.0
cyano_only_1.tif,44,131,311.37404580152673,136.19847328244273,15.732824427480915,0.0
cyano_only_1.tif,45,23,310.0869565217391,270.82608695652175,16.565217391304348,0.0
cyano_only_1.tif,46,34,325.70588235294116,88.8529411764706,14.058823529411764,0.0
cyano_only_1.tif,47,63,328.12698412698415,62.507936507936506,16.03174603174603,0.0
cyano_only_1.tif,48,244,334.82377049180326,124.74180327868852,18.266393442622952,0.0
cyano_only_1.tif,49,92,333.20652173913044,227.66304347826087,14.804347826086957,0.0
cyano_only_1.tif,50,7,330.57142857142856,167.71428571428572,14.142857142857142,0.0
cyano_only_1.tif,51,61,343.0163934426229,215.2622950819672,17.40983606557377,0.0
cyano_only_1.tif,52,46,347.04347826086956,194.6304347826087,17.08695652173913,0.0
cyano_only_1.tif,53,236,361.4830508474576,210.71610169491527,32.144067796610166,0.0
cyano_only_1.tif,54,22,362.8636363636364,283.8636363636364,17.545454545454547,0.0
cyano_only_1.tif,55,29,371.2758620689655,1.896551724137931,19.06896551724138,0.0
cyano_only_1.tif,56,48,377.1458333333333,15.770833333333334,14.166666666666666,0.0
cyano_only_1.tif,57,8,398.25,115.375,14.625,0.0
cyano_only_1.tif,58,6,403.6666666666667,117.16666666666667,17.833333333333332,0.0
cyano_only_1.tif,59,15,417.06666666666666,298.46666666666664,15.2,0.0
cyano_only_1.tif,60,109,426.5963302752294,90.63302752293578,14.63302752293578,0.0
cyano_only_1.tif,61,10,423.9,235.0,21.8,0.0
cyano_only_1.tif,62,6,424.3333333333333,225.5,20.0,0.0
cyano_only_1.tif,63,56,439.01785714285717,105.28571428571429,15.553571428571429,0.0
cyano_only_1.tif,64,22,438.90909090909093,188.0909090909091,12.727272727272727,0.0
cyano_only_1.tif,65,232,452.8491379310345,249.98706896551724,16.40948275862069,0.0
cyano_only_1.tif,66,10,449.2,206.6,17.8,0.0
cyano_only_1.tif,67,6,452.8333333333333,215.5,20.833333333333332,0.0
cyano_only_1.tif,68,18,463.22222222222223,199.72222222222223,14.055555555555555,0.0
cyano_only_1.tif,69,39,465.94871794871796,206.12820512820514,14.487179487179487,0.0
cyano_only_1.tif,70,7,488.14285714285717,504.57142857142856,17.428571428571427,0.0
cyano_only_1.tif,71,62,507.43548387096774,495.46774193548384,13.838709677419354,0.0
cyano_only_1.tif,72,27,509.3333333333333,125.55555555555556,19.77777777777778,0.0
cyano_only_2.tif,1,156,4.4743589743589745,223.82051282051282,47.22435897435897,4.858974358974359
cyano_only_2.tif,2,36,10.916666666666666,327.8611111111111,44.861111111111114,2.4444444444444446
cyano_only_2.tif,3,6,28.5,349.8333333333333,48.5,3.3333333333333335
cyano_only_2.tif,4,350,44.425714285714285,405.9971428571429,45.46,4.128571428571429
cyano_only_2.tif,5,189,43.835978835978835,298.968253968254,44.957671957671955,5.042328042328043
cyano_only_2.tif,6,330,53.68787878787879,97.9030303030303,44.17575757575757,3.903030303030303
cyano_only_2.tif,7,467,52.815845824411134,358.40256959314775,46.38115631691649,3.531049250535332
cyano_only_2.tif,8,69,45.971014492753625,241.53623188405797,44.43478260869565,4.521739130434782
cyano_only_2.tif,9,512,80.76953125,408.232421875,48.767578125,4.603515625
cyano_only_2.tif,10,311,79.07717041800643,80.60128617363344,42.948553054662376,4.186495176848875
cyano_only_2.tif,11,310,83.39032258064516,162.8548387096774,50.79032258064516,4.922580645161291
cyano_only_2.tif,12,281,103.66192170818505,330.1423487544484,46.430604982206404,5.822064056939502
cyano_only_2.tif,13,484,121.07438016528926,487.9834710743802,48.764462809917354,4.49793388429752
cyano_only_2.tif,14,87,129.71264367816093,118.75862068965517,51.4367816091954,4.586206896551724
cyano_only_2.tif,15,10,132.9,438.8,48.3,4.9
cyano_only_2.tif,16,108,151.11111111111111,37.129629629629626,41.28703703703704,4.083333333333333
cyano_only_2.tif,17,447,158.72035794183446,212.9798657718121,47.82997762863535,3.4049217002237135
cyano_only_2.tif,18,140,177.21428571428572,47.385714285714286,78.87857142857143,13.271428571428572
cyano_only_2.tif,19,356,202.34550561797752,137.81741573033707,56.2247191011236,4.831460674157303
cyano_only_2.tif,20,198,200.27777777777777,492.8131313131313,39.707070707070706,3.54040404040404
cyano_only_2.tif,21,6,206.83333333333334,492.5,49.5,2.0
cyano_only_2.tif,22,163,233.41717791411043,286.4723926380368,52.61349693251534,5.331288343558282
cyano_only_2.tif,23,129,245.7751937984496,5.627906976744186,41.86821705426357,3.5968992248062017
cyano_only_2.tif,24,203,255.05418719211823,280.67487684729065,41.1871921182266,4.123152709359606
cyano_only_2.tif,25,268,263.32462686567163,430.99626865671644,43.30223880597015,4.134328358208955
cyano_only_2.tif,26,337,268.9317507418398,12.617210682492582,56.637982195845694,3.5044510385756675
cyano_only_2.tif,27,120,303.31666666666666,271.1166666666667,48.4,4.133333333333334
